,utt,날씨 묻기,관광지 추천,숙소 추천,맛집 추천,인사,소개,활동 추천,카페 추천
5291,한림 여름에 할 만한 것 뭐있어?,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3496,동문로 지역에서 유명한 오겹살 음식집 어디가 좋을까?,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2078,어 제주도 동쪽 관광지 추천 해줄랭.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4824,ㅎㅇ 나 제주도 여행 가,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
440,서귀포 가족끼리 갈만한 호텔 알려줄래?,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
386,"독채펜션 알려줘, 괜찮은.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1971,제주 어 관광지 추천 해.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5424,애월 봄 할 만한 것 뭐있어,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3822,이번주 애월 날씨 상태 알려줘.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
343,하귀 모텔,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1403,제주도 갈만한 카페 저기 말해.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1422,제주도 갈만한 카페 저 말해줘,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3351,고마로 가성비 좋은 고기국수 식당 추천해줘.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1034,카페 아 추천 해주라.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
136,제주 동부 감성 머무를 곳 추천,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1850,아 서귀포쪽 관광지 추천 해봐바.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2804,너 뭐 할수 근데 있는지 알려줘봐.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4894,제주도 여행 정보를 얻고 싶어요,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3392,삼도이동 갈치호박국 음식집 어디가 좋니?,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2600,모든 기능 궁금해요.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
