num,utt,날씨 묻기,관광지 추천,숙소 추천,맛집 추천,인사,소개,활동 추천,카페 추천
1,제주 바다 보이는 머무를 곳 어디가 좋을까?,0,0,1,0,0,0,0,0
2,제주 마당 있는 머무를 곳 추천,0,0,1,0,0,0,0,0
3,제주공항 근처 가족끼리 갈만한 게스트하우스 어디가 괜찮니?,0,0,1,0,0,0,0,0
4,한달살기 잘 곳,0,0,1,0,0,0,0,0
5,제주 괜찮은 독채 어디가 좋을까?,0,0,1,0,0,0,0,0
6,제주 감성 독채펜션 어디가 좋을까?,0,0,1,0,0,0,0,0
7,음 제주 감성 풀빌라 추천 좀,0,0,1,0,0,0,0,0
8,우도 마당 있는 머무를 곳 알려줄래?,0,0,1,0,0,0,0,0
9,성산일출봉 근처 한달살기 독채펜션 어디에 있어?,0,0,1,0,0,0,0,0
10,우도 오션뷰 펜션 어디가 좋을까?,0,0,1,0,0,0,0,0
11,추천 하귀 바다뷰 독채펜션,0,0,1,0,0,0,0,0
12,성산일출봉 근처 괜찮은 게스트하우스 어디가 괜찮아?,0,0,1,0,0,0,0,0
13,제주 한달살기 잘 곳 어디가 좋을까?,0,0,1,0,0,0,0,0
14,독채펜션 추천 하귀 오션뷰,0,0,1,0,0,0,0,0
15,성산일출봉 근처 마당 있는 잘 곳 어디가 뭐지 좋니?,0,0,1,0,0,0,0,0
16,우도 오션뷰 잘 곳 어디가 예뻐?,0,0,1,0,0,0,0,0
17,제주 서부 편안한 게스트하우스 알려줘.,0,0,1,0,0,0,0,0
18,제주 동부 감성 잘 곳 알려줘.,0,0,1,0,0,0,0,0
19,흠 하귀 가족끼리 갈만한 모텔 좀 추천해줘.,0,0,1,0,0,0,0,0
20,우도 바다 보이는 호텔 어디가 괜찮니?,0,0,1,0,0,0,0,0
21,"알려줘, 하귀 한달살기 독채 그.",0,0,1,0,0,0,0,0
22,바다 보이는 게스트하우스 추천,0,0,1,0,0,0,0,0
23,성산일출봉 근처 바다 보이는 모텔 어디가 좋니?,0,0,1,0,0,0,0,0
24,제주 동부 감성 모텔 어디에 있어?,0,0,1,0,0,0,0,0
25,음 제주 괜찮은 모텔,0,0,1,0,0,0,0,0
26,서귀포 바다 보이는 잘 곳 어디가 예뻐?,0,0,1,0,0,0,0,0
27,제주공항 바다 보이는 게스트하우스 어디가 좋을까?,0,0,1,0,0,0,0,0
28,성산일출봉 근처 오션뷰 풀빌라 알려줘.,0,0,1,0,0,0,0,0
29,제주공항 근처 괜찮은 독채펜션 어디가 좋아?,0,0,1,0,0,0,0,0
30,오션뷰 독채 어디가 예뻐?,0,0,1,0,0,0,0,0
31,제주 서부 한달살기 독채펜션 알려줘.,0,0,1,0,0,0,0,0
32,제주공항 오션뷰 펜션 어디에 있어?,0,0,1,0,0,0,0,0
33,바다 보이는 게스트하우스 어디에 있어?,0,0,1,0,0,0,0,0
34,제주 서부 한달살기 독채펜션 추천해줘.,0,0,1,0,0,0,0,0
35,제주공항 가족끼리 갈만한 독채 추천 좀,0,0,1,0,0,0,0,0
36,제주 동부 감성 독채펜션 추천 좀,0,0,1,0,0,0,0,0
37,우도 마당 있는 게스트하우스 추천 좀,0,0,1,0,0,0,0,0
38,제주공항 근처 가족끼리 갈만한 게스트하우스 추천,0,0,1,0,0,0,0,0
39,독채펜션 하귀 오션뷰 음,0,0,1,0,0,0,0,0
40,제주 감성 풀빌라 어디가 괜찮아?,0,0,1,0,0,0,0,0
41,제주 동부 감성 모텔 알려줘.,0,0,1,0,0,0,0,0
42,제주공항 한달살기 게스트하우스 어디가 좋을까?,0,0,1,0,0,0,0,0
43,제주 서부 바다 보이는 독채펜션 추천해줘.,0,0,1,0,0,0,0,0
44,제주공항 가족끼리 갈만한 풀빌라 추천,0,0,1,0,0,0,0,0
45,우도 풀빌라 어디가 좋니?,0,0,1,0,0,0,0,0
46,제주공항 근처 가족끼리 갈만한 잘 곳 어디가 좋을까?,0,0,1,0,0,0,0,0
47,성산일출봉 근처 마당 있는 모텔 어디가 좋니?,0,0,1,0,0,0,0,0
48,제주공항 게스트하우스 어디가 괜찮니?,0,0,1,0,0,0,0,0
49,성산일출봉 근처 오션뷰 게스트하우스 어디가 좋니?,0,0,1,0,0,0,0,0
50,서귀포 편안한 독채 어디가 괜찮니?,0,0,1,0,0,0,0,0
51,서귀포 한달살기 게스트하우스 어디가 좋을까?,0,0,1,0,0,0,0,0
52,하귀 가족끼리 갈만한 게스트하우스 어디가 좋아?,0,0,1,0,0,0,0,0
53,애월 오션뷰 머무를 곳 추천해줘.,0,0,1,0,0,0,0,0
54,제주공항 근처 편안한 머무를 곳 알려줄래?,0,0,1,0,0,0,0,0
55,제주공항 근처 가족끼리 갈만한 펜션 추천,0,0,1,0,0,0,0,0
56,제주 동부 바다 보이는 모텔 추천해줘.,0,0,1,0,0,0,0,0
57,제주 서부 분위기 좋은 풀빌라 어디가 괜찮니?,0,0,1,0,0,0,0,0
58,"알려줄래, 제주공항 감성 게스트하우스?",0,0,1,0,0,0,0,0
59,우도 분위기 좋은 호텔 알려줄래?,0,0,1,0,0,0,0,0
60,성산일출봉 근처 바다 보이는 독채 어디가 좋을까?,0,0,1,0,0,0,0,0
